time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/approx_kl,train/entropy_loss,train/explained_variance,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_fraction,train/clip_range,train/learning_rate,eval/mean_reward,eval/mean_ep_length
166,1073,87,178176,0.00022402074,-0.16332178562879562,0.33119506,860,2.4653927087783813,-0.00038878940977156163,1.2305139303207397,0.0,0.2,0.0003,,
167,1073,88,180224,0.0003247647,-0.15591227263212204,0.33445704,870,2.505647826194763,-0.00048724506050348284,1.250101089477539,0.0009765625,0.2,0.0003,,
169,1073,89,182272,0.00021227641,-0.14962190091609956,0.33812124,880,2.2957598209381103,-0.000250116316601634,1.146141529083252,0.0,0.2,0.0003,,
171,1073,90,184320,0.00023996629,-0.1451513171195984,0.33500814,890,2.397888255119324,-0.0003444698639214039,1.1979851722717285,0.000146484375,0.2,0.0003,,
173,1074,91,186368,0.00013462506,-0.14268772006034852,0.33583748,900,2.473844861984253,-9.106860961765051e-05,1.2360483407974243,0.0,0.2,0.0003,,
,,,187500,7.3047646e-05,-0.13983144462108613,0.33136016,910,2.3400195598602296,3.7098536267876627e-06,1.1694741249084473,0.0,0.2,0.0003,2.34198097884655,43.0
175,1073,92,188416,,,,,,,,,,,,
177,1074,93,190464,0.00020399771,-0.14123688340187074,0.3266936,920,2.5671303987503054,-0.00030475036473944785,1.2815810441970825,0.0,0.2,0.0003,,
179,1074,94,192512,0.0005627174,-0.13929520100355147,0.3296799,930,2.3802274465560913,-0.0006323338951915502,1.186333417892456,0.00068359375,0.2,0.0003,,
180,1074,95,194560,0.0005696165,-0.1333581194281578,0.3367771,940,2.423053503036499,-0.0004957154742442071,1.209378957748413,0.0009765625,0.2,0.0003,,
182,1074,96,196608,2.6407914e-05,-0.1297008976340294,0.3411817,950,2.4116239070892336,0.0001340487040579319,1.2052690982818604,0.0,0.2,0.0003,,
184,1074,97,198656,0.00014586223,-0.13090782165527343,0.33780795,960,2.253554630279541,-0.0001113060861825943,1.125898838043213,0.0,0.2,0.0003,,
,,,200000,0.00013915988,-0.13079312294721604,0.33130002,970,2.429190468788147,-0.00035050238948315383,1.2132740020751953,0.0,0.2,0.0003,2.34198097884655,43.0
186,1074,98,200704,,,,,,,,,,,,
188,1074,99,202752,0.00012284418,-0.13526950776576996,0.33854365,980,2.367658567428589,6.664422107860446e-05,1.1830614805221558,0.0,0.2,0.0003,,
190,1074,100,204800,0.0002073211,-0.13597248643636703,0.33250648,990,2.3137413263320923,-0.00022755784448236227,1.1560841798782349,0.0,0.2,0.0003,,
192,1074,101,206848,0.0003094248,-0.13633524179458617,0.3374614,1000,2.391426682472229,-0.0006257144268602133,1.1941300630569458,0.00029296875,0.2,0.0003,,
194,1073,102,208896,0.00064555724,-0.1417460858821869,0.33398855,1010,2.4848474979400637,-0.0007855484844185411,1.2404347658157349,0.002392578125,0.2,0.0003,,
196,1074,103,210944,0.00090233143,-0.14115843027830124,0.33282202,1020,2.372454357147217,-0.0010003763600252569,1.1834471225738525,0.003515625,0.2,0.0003,,
